country,code,region,incomegroup,co2pc1980,co2pc1981,co2pc1982,co2pc1983,co2pc1984,co2pc1985,co2pc1986,co2pc1987,co2pc1988,co2pc1989,co2pc1990,co2pc1991,co2pc1992,co2pc1993,co2pc1994,co2pc1995,co2pc1996,co2pc1997,co2pc1998,co2pc1999,co2pc2000,co2pc2001,co2pc2002,co2pc2003,co2pc2004,co2pc2005,co2pc2006,co2pc2007,co2pc2008,co2pc2009,co2pc2010,gdppc1980,gdppc1981,gdppc1982,gdppc1983,gdppc1984,gdppc1985,gdppc1986,gdppc1987,gdppc1988,gdppc1989,gdppc1990,gdppc1991,gdppc1992,gdppc1993,gdppc1994,gdppc1995,gdppc1996,gdppc1997,gdppc1998,gdppc1999,gdppc2000,gdppc2001,gdppc2002,gdppc2003,gdppc2004,gdppc2005,gdppc2006,gdppc2007,gdppc2008,gdppc2009,gdppc2010,logco2pc1980,logco2pc1981,logco2pc1982,logco2pc1983,logco2pc1984,logco2pc1985,logco2pc1986,logco2pc1987,logco2pc1988,logco2pc1989,logco2pc1990,logco2pc1991,logco2pc1992,logco2pc1993,logco2pc1994,logco2pc1995,logco2pc1996,logco2pc1997,logco2pc1998,logco2pc1999,logco2pc2000,logco2pc2001,logco2pc2002,logco2pc2003,logco2pc2004,logco2pc2005,logco2pc2006,logco2pc2007,logco2pc2008,logco2pc2009,logco2pc2010,loggdppc1980,loggdppc1981,loggdppc1982,loggdppc1983,loggdppc1984,loggdppc1985,loggdppc1986,loggdppc1987,loggdppc1988,loggdppc1989,loggdppc1990,loggdppc1991,loggdppc1992,loggdppc1993,loggdppc1994,loggdppc1995,loggdppc1996,loggdppc1997,loggdppc1998,loggdppc1999,loggdppc2000,loggdppc2001,loggdppc2002,loggdppc2003,loggdppc2004,loggdppc2005,loggdppc2006,loggdppc2007,loggdppc2008,loggdppc2009,loggdppc2010,co21980,co21981,co21982,co21983,co21984,co21985,co21986,co21987,co21988,co21989,co21990,co21991,co21992,co21993,co21994,co21995,co21996,co21997,co21998,co21999,co22000,co22001,co22002,co22003,co22004,co22005,co22006,co22007,co22008,co22009,co22010
Saudi Arabia,SAU,mena,High income: nonOECD,17.2102,16.7378,14.1499,13.5507,12.3654,13.0071,14.7201,13.1264,13.4073,13.0059,13.4485,15.9958,16.5397,17.6718,16.9818,12.7242,13.728,11.3447,10.7702,11.5419,14.7402,14.2265,14.9555,14.3212,16.6043,16.1053,17.0558,15.1852,15.8626,16.0853,17.0399,16428.2,17908.2,16102.7,14630.8,13982.5,13147.9,13392.7,12588,13428.3,14037,15017.1,16122.6,16234.3,16309,16365.2,16339.2,16788.3,17098.5,17348.1,17045.7,17843.1,17911.9,17774.2,19049.3,20110.5,21903.4,23052.8,24258.7,25937.1,25742.7,27074.6,2.845501,2.81767,2.649708,2.606436,2.514903,2.565495,2.689213,2.574628,2.595797,2.565403,2.598871,2.772326,2.805762,2.871972,2.832143,2.543502,2.61944,2.428749,2.376779,2.44598,2.690579,2.655106,2.705079,2.66174,2.809663,2.779151,2.836491,2.720324,2.763966,2.777903,2.835558,9.706752,9.793015,9.686742,9.590886,9.54556,9.484015,9.502467,9.440501,9.505116,9.549456,9.616944,9.68798,9.694883,9.699475,9.70291,9.701322,9.728436,9.746744,9.761236,9.743655,9.789372,9.793222,9.785501,9.854786,9.908996,9.994399,10.04554,10.09653,10.16343,10.15591,10.20635,169404,175492,158092,161051,155715,172653,204879,190706,202554,203739,217948,267768,285535,313818,309018,236254,258751,216239,207681,226459,296935,297214,326407,327272,395834,397642,432739,393535,418240,431027,464481
South Africa,ZAF,africa,Upper middle income,8.28453,9.10888,9.69042,9.83147,10.3572,10.3557,10.3002,9.99072,10.1711,9.8899,9.47482,9.63839,8.85379,9.14103,9.37564,9.03524,8.96594,9.07314,8.88357,8.64409,8.37751,8.07716,7.58996,8.20549,9.08416,8.31487,8.80145,9.07066,9.3828,10.0341,9.04053,4039.4,4538.2,4681.23,4657.01,4944.28,4921.3,4907.23,5025.47,5303.66,5521.02,5583.77,5586.28,5469.97,5548.74,5731.57,5907.89,6153.28,6308.96,6305.27,6449.6,6780.69,6925.17,7187.98,7450.16,7904.89,8517.15,9149.89,9784.11,10200.7,9988.97,10289.5,2.114389,2.20925,2.271137,2.285588,2.337677,2.337534,2.332161,2.301657,2.319548,2.291514,2.248638,2.265754,2.180846,2.212773,2.238115,2.201132,2.193433,2.205318,2.184204,2.156876,2.125551,2.089041,2.026827,2.104804,2.206532,2.118045,2.174917,2.205045,2.238878,2.305986,2.201718,8.303851,8.420286,8.451316,8.446129,8.505986,8.501328,8.498465,8.522274,8.576153,8.616318,8.62762,8.628069,8.607028,8.621326,8.653745,8.684044,8.724741,8.749726,8.749141,8.771773,8.821835,8.842917,8.880165,8.915991,8.975237,9.049837,9.121497,9.188515,9.230215,9.209237,9.238876,228454,257368,280749,292231,315949,324214,330855,329025,343055,341108,333514,346337,324852,342549,358930,353458,358640,371328,372219,371034,368611,362743,347687,380811,427132,396117,424844,443648,465023,503941,460124
Mexico,MEX,latam,Upper middle income,3.81581,3.9564,4.15221,3.7185,3.63616,3.70542,3.70934,3.79457,3.71593,4.29137,3.65273,3.7131,3.65953,3.60415,3.7201,3.43883,3.50627,3.62118,3.70893,3.73202,3.67291,3.74787,3.66602,3.7539,3.75515,3.92882,3.94051,4.0152,4.10065,3.8329,3.76357,5155.51,5974.61,6170.25,6055.57,6347.48,6555.03,6348.54,6492.96,6673.74,7082.29,7579.02,8008.85,8328.99,8588.87,9023.02,8528.54,9052.77,9706.68,10130.4,10403.5,11045.5,11031.3,11083.4,11343.7,12124,12514.4,13362,13919.8,14157.8,13376.4,14021.2,1.339153,1.375336,1.423641,1.313321,1.290928,1.309795,1.310853,1.333571,1.312629,1.456606,1.295474,1.311867,1.297334,1.282087,1.313749,1.23513,1.254552,1.286801,1.310743,1.31695,1.300984,1.321188,1.299105,1.322795,1.323129,1.368339,1.371309,1.390087,1.411147,1.343623,1.325369,8.547821,8.695274,8.727494,8.708734,8.755814,8.787988,8.75598,8.778474,8.805936,8.865353,8.933139,8.988302,9.027497,9.058223,9.107534,9.051173,9.110826,9.18057,9.2233,9.249903,9.309778,9.30849,9.313201,9.336419,9.402943,9.434632,9.500173,9.541068,9.558018,9.501248,9.548326,268454,284530,304838,278443,277625,288501,294559,307357,307067,361878,314416,326345,328472,330334,347984,328039,340815,358383,373411,381848,381518,394800,391251,405633,410744,435046,441797,455845,471444,446237,443674
Indonesia,IDN,asia,Lower middle income,0.651465,0.672794,0.692195,0.674104,0.70513,0.746316,0.734386,0.729846,0.767203,0.746418,0.837279,0.988692,1.0955,1.16265,1.15871,1.15882,1.2851,1.39294,1.03557,1.17501,1.26075,1.39127,1.42643,1.4522,1.52573,1.52348,1.51561,1.62593,1.76051,1.90792,1.80321,735.884,848.988,904.05,960.161,1042.97,1081.47,1145.46,1208.65,1297.63,1420.52,1549.13,1684.01,1803.74,1961.81,2119.48,2303.37,2499.91,2631.79,2284.74,2309.04,2432.57,2542.67,2659.99,2802.89,2978.67,3185.05,3414.84,3675.48,3916.76,4071.55,4315.77,-0.4285309,-0.3963163,-0.367888,-0.3943703,-0.3493735,-0.2926059,-0.3087201,-0.3149213,-0.2650036,-0.2924699,-0.1775975,-0.0113725,0.0912092,0.1507031,0.1473099,0.1474005,0.2508374,0.3314192,0.0349495,0.1612742,0.2317048,0.3302152,0.3551753,0.373083,0.4224752,0.420996,0.4158193,0.4860778,0.5656015,0.6460126,0.5895666,6.601072,6.744045,6.806885,6.867101,6.949828,6.986076,7.043561,7.09726,7.168295,7.258778,7.345449,7.428933,7.497618,7.581623,7.658926,7.742128,7.82401,7.87542,7.734007,7.744587,7.796704,7.84097,7.886077,7.938406,7.999232,8.066223,8.135886,8.209439,8.27302,8.311779,8.370031,94785,100160,105408,104957,112185,121246,121741,123373,132162,130967,149566,179731,202576,218601,221413,224941,253291,278659,210211,241989,263419,294907,306737,316792,337635,341992,345120,375545,412387,453106,433989
Brazil,BRA,latam,Upper middle income,1.5368,1.37874,1.35014,1.27731,1.26576,1.33053,1.43058,1.46388,1.44936,1.45517,1.39585,1.44151,1.42761,1.46957,1.51885,1.59581,1.73234,1.80049,1.84271,1.8614,1.87951,1.90675,1.85217,1.76955,1.83591,1.86582,1.84798,1.91168,2.02161,1.89749,2.15027,3793.09,3872.67,4041.9,3966.36,4227.3,4603.98,4946.47,5150.22,5241.51,5514.77,5383.37,5525.61,5534.14,5836.27,6180.3,6486.6,6644.61,6881.6,6855.25,6867.61,7218.02,7371.6,7574.93,7708.42,8253.15,8640.96,9150,9855.06,10457.1,10400.5,11215.7,0.4297004,0.3211724,0.3002053,0.2447553,0.2356699,0.2855771,0.3580765,0.3810875,0.3711213,0.3751228,0.3335052,0.3656901,0.3560022,0.384969,0.4179507,0.4673834,0.5494707,0.5880579,0.6112394,0.6213303,0.6310114,0.6453989,0.6163553,0.5707273,0.6075395,0.6237026,0.6140926,0.6479805,0.7038944,0.6405327,0.7655925,8.240936,8.2617,8.30447,8.285604,8.349319,8.434676,8.50643,8.546795,8.564364,8.615185,8.59107,8.617149,8.618691,8.671847,8.729122,8.777493,8.801561,8.836606,8.83277,8.834572,8.884336,8.90539,8.932599,8.950068,9.018351,9.064269,9.12151,9.195741,9.255033,9.249613,9.325068,187090,171806,172177,166632,168807,181249,198883,207530,209364,214024,208887,219331,220706,230739,242154,258347,284783,300547,312289,320173,327984,337434,332267,321622,337826,347309,347668,363213,387675,367147,419754
Italy,ITA,europe,High income: OECD,6.89249,6.69042,6.53799,6.38859,6.49825,6.57562,6.4749,6.77841,6.88301,7.21536,7.3617,7.46676,7.40417,7.24801,7.16667,7.56994,7.60173,7.67551,7.82519,7.73328,7.92806,7.90443,7.93271,8.17175,8.19564,8.16603,8.07215,7.91735,7.60177,6.79565,6.85433,9111.6,10023.9,10708.5,11225.1,11998.1,12723.1,13348.7,14127,15231,16347.8,17286.7,18102.5,18660,18924.9,19736.1,20728.7,21346.4,22104,22657.4,23312.6,24707.1,25726.9,26227.9,26672.8,27529.8,28364.1,29781.3,31001.1,31012.5,29360.2,30130.9,1.930432,1.900677,1.87763,1.854513,1.871533,1.883369,1.867933,1.913742,1.929056,1.976212,1.996292,2.010462,2.002043,1.980727,1.969442,2.024185,2.028376,2.038035,2.057347,2.045534,2.070409,2.067424,2.070995,2.100683,2.103602,2.099983,2.088419,2.069056,2.02838,1.916283,1.924881,9.117304,9.212727,9.278791,9.325911,9.392501,9.451178,9.499171,9.555846,9.631086,9.701846,9.757692,9.803803,9.834139,9.848236,9.890205,9.939274,9.968637,10.00351,10.02824,10.05675,10.11485,10.15529,10.17458,10.1914,10.22303,10.25288,10.30163,10.34178,10.34215,10.28739,10.31331,388970,378020,369681,361365,367650,372135,366454,383671,389780,408907,417550,423803,420535,411918,407378,430308,432237,436663,445306,440150,451441,450348,452632,468349,472768,473380,469347,462676,447187,401592,406307
Australia,AUS,asia,High income: OECD,15.0249,15.4325,15.4249,14.6401,15.221,15.3084,14.9806,15.747,15.7962,16.5199,16.8374,16.2885,16.8309,17.1006,17.0237,17.0116,17.9815,18.0172,18.5406,17.1998,17.209,16.7341,17.3525,17.4149,17.3275,17.7832,17.9349,18.1123,18.2423,18.214,16.9337,9957.59,11157.6,11663.6,11915,12958.6,13904.9,14318,15161.4,16073,17228.9,18022.3,18174.4,18898.8,19947.5,21121.3,21926.6,23016.3,24124.9,25336.8,26467.6,27581.5,28585.7,29832.7,31006.5,32600.6,34098.4,35536.3,37429.1,38346.4,38538.6,39329.4,2.70971,2.736476,2.735985,2.683763,2.722674,2.728402,2.706754,2.756647,2.759767,2.804564,2.823601,2.790459,2.823216,2.839115,2.834605,2.833896,2.889345,2.891324,2.919962,2.844897,2.845434,2.81745,2.853739,2.857327,2.852294,2.878254,2.886747,2.89659,2.903745,2.902193,2.829308,9.20609,9.319874,9.364231,9.385551,9.469518,9.539994,9.569273,9.626511,9.684896,9.754343,9.799365,9.80777,9.846854,9.90086,9.958037,9.995455,10.04396,10.091,10.14001,10.18367,10.2249,10.26066,10.30336,10.34195,10.39209,10.43701,10.47831,10.5302,10.55441,10.55941,10.57973,220746,230361,234120,225003,236595,241230,239965,256107,261145,277772,287331,281530,294456,302117,303958,307434,329260,333624,346913,325523,329605,324860,341002,346477,348757,362685,371214,377235,387635,395094,373081
France,FRA,europe,High income: OECD,9.15105,8.19203,7.8273,7.52635,7.1755,7.05462,6.7468,6.56704,6.43916,6.72216,6.8316,7.30343,6.74669,6.58328,6.2276,6.60539,6.83033,6.3286,6.79726,6.13781,6.00153,6.28836,6.16214,6.22711,6.22152,6.206,6.01374,5.87201,5.78775,5.51635,5.55607,10081.2,11069.1,11972.2,12525.5,13105.2,13676.8,14202,14839.8,15994.6,17218.8,18224.2,18938.2,19563.3,19805.6,20611.3,21402.5,21956.1,22748.8,23697.9,24743.8,26076.1,26975.7,27450.6,28055.7,29329.3,30548.4,32034.8,33421.3,33860.4,32872.3,33682.6,2.213869,2.103161,2.057618,2.01841,1.970672,1.953683,1.909068,1.882064,1.862397,1.90541,1.921559,1.988344,1.909051,1.884533,1.828992,1.887885,1.921373,1.845079,1.916519,1.814467,1.792015,1.838701,1.818424,1.828913,1.828015,1.825517,1.794046,1.770196,1.755743,1.707716,1.71489,9.218429,9.311909,9.390339,9.435519,9.480761,9.523457,9.561136,9.605064,9.680007,9.753759,9.810506,9.848935,9.881409,9.893718,9.933598,9.971263,9.996799,10.03227,10.07314,10.11633,10.16877,10.20269,10.22014,10.24195,10.28634,10.32707,10.37458,10.41695,10.43,10.40038,10.42474,505364,454701,436894,422603,405343,400880,385614,377492,372208,390649,399028,427668,397037,389105,369458,393289,408126,379487,409094,371309,365560,385827,380840,387591,390103,392072,382582,375882,372564,356924,361273
Poland,POL,europe,High income: OECD,13.0594,11.4228,11.6535,11.5482,11.7573,11.9859,12.104,12.3541,11.7907,11.1636,9.62387,9.45432,9.31306,9.16554,8.7218,8.98598,9.29007,9.08285,8.45591,8.20308,7.88558,7.9169,7.76691,7.97957,7.9877,7.95479,8.38998,8.27997,8.29163,7.83158,8.30863,4245.31,4140.24,4145.92,4487.13,4589.67,4882.79,5123.61,5347.95,5711.61,6153.7,5867.58,5623.4,5853.23,6230.78,6682.88,7281.38,7870.99,8566.36,9085.82,9630.8,10377.5,10745.8,11071.8,11737.1,12697.7,13568.4,14862.9,16306.1,17481.4,17893.3,18796.2,2.569506,2.435611,2.455605,2.446532,2.464477,2.483735,2.493537,2.513985,2.46731,2.41266,2.264247,2.246472,2.231418,2.215451,2.165825,2.195666,2.228946,2.206388,2.134866,2.104509,2.065036,2.069,2.049872,2.076885,2.077903,2.073775,2.127038,2.113839,2.115247,2.058164,2.117295,8.35357,8.328509,8.32988,8.408969,8.431563,8.493472,8.541615,8.584469,8.650256,8.724809,8.677197,8.634692,8.674749,8.737257,8.807304,8.893076,8.970939,9.055598,9.11447,9.172722,9.2474,9.282267,9.31216,9.370513,9.449175,9.515496,9.606624,9.699297,9.768891,9.792183,9.841408,464576,410062,422211,422339,433894,445900,453370,465353,445977,423788,366773,361592,357283,352520,336161,346814,358823,351049,326935,317133,301691,302806,296932,304856,304988,303598,320004,315637,316125,298787,317254
Ukraine,UKR,europe,Lower middle income,,,,,,,,,,,,,12.3045,10.4661,8.60944,8.65704,8.07596,6.74379,6.55386,6.69472,6.52301,6.60693,6.61136,7.36745,7.23097,7.08775,6.9779,7.04364,6.99246,5.685,6.64487,,,,,,,,,,,,,5163.36,4489.85,3552.11,3211.7,2972.87,2955.26,2958.12,3020.21,3300.7,3722.04,4010.6,4518.54,5244.36,5583.95,6227.95,6921.12,7261.3,6265.31,6627.22,2.509962,2.509962,2.509962,2.509962,2.509962,2.509962,2.509962,2.509962,2.509962,2.509962,2.509962,2.509962,2.509962,2.348139,2.152859,2.158372,2.088892,1.908622,1.880055,1.901319,1.875336,1.888119,1.88879,1.997071,1.978373,1.958367,1.942748,1.952125,1.944833,1.73783,1.893845,8.549343,8.549343,8.549343,8.549343,8.549343,8.549343,8.549343,8.549343,8.549343,8.549343,8.549343,8.549343,8.549343,8.409575,8.175297,8.074555,7.997283,7.991342,7.992309,8.013082,8.10189,8.222027,8.296696,8.415944,8.564908,8.627652,8.736802,8.842333,8.890314,8.742784,8.798941,0,0,0,0,0,0,0,0,0,0,0,0,641681,546112,447011,445944,412336,341196,328637,332549,320775,321651,318684,352259,343121,333869,326480,327595,323459,261813,304805
Turkey,TUR,europe,Upper middle income,1.7256,1.77749,1.89114,1.92345,1.99004,2.17001,2.32893,2.53882,2.42318,2.62536,2.70129,2.70641,2.74306,2.80593,2.72237,2.93856,3.16605,3.28838,3.27211,3.16124,3.42144,3.0349,3.1632,3.31385,3.37205,3.50395,3.81152,4.09601,4.05429,3.90007,4.13103,2781.41,3104.02,3320.56,3408.76,3683.96,3874.78,4134.81,4565.93,4906.33,5037.87,5578.97,5703.27,6062.64,6596.38,6264.51,6727.25,7194.7,7725.2,7684.01,7424.51,7995.56,7608.36,8092.77,8576.78,9725.4,10899.4,11865.4,12600.1,12770.7,12085.7,13177.8,0.5455756,0.5752,0.6371802,0.6541216,0.6881525,0.7747328,0.8454102,0.9317003,0.8850815,0.9652169,0.9937283,0.9956243,1.009075,1.031736,1.001502,1.077919,1.152484,1.190396,1.185434,1.150964,1.230061,1.110179,1.151583,1.198109,1.215521,1.253892,1.338029,1.410013,1.399776,1.360994,1.418527,7.930713,8.040453,8.107889,8.134104,8.211743,8.262244,8.327197,8.426377,8.498281,8.524738,8.62676,8.648795,8.709901,8.794276,8.742656,8.813922,8.8811,8.952243,8.946897,8.912542,8.986642,8.937003,8.998726,9.056814,9.182496,9.29646,9.381379,9.441458,9.45491,9.399776,9.486286,75764,79875,86989,90542,95797,106717,116882,129907,126310,139317,145855,148613,153105,159133,156845,171971,188198,198528,200607,196768,216148,194538,205678,218509,225407,237369,261571,284658,285274,277845,298002
Thailand,THA,asia,Upper middle income,0.846901,0.787441,0.769701,0.846186,0.899696,0.935357,0.937726,1.05467,1.2192,1.41299,1.69369,1.84029,1.99767,2.25136,2.48704,2.84121,3.139,3.20722,2.80882,2.9666,3.02126,3.20494,3.38531,3.60062,3.87701,3.90743,3.96472,3.96818,3.95614,4.17318,4.44686,1099.5,1236.5,1356.04,1468.1,1574.08,1659.83,1747.53,1929.91,2218.04,2569.81,2921.08,3225.46,3514.57,3858.59,4239.69,4698.95,5011.81,4969.79,4448.18,4697.45,5014.73,5152.71,5464.57,5919.62,6350.11,6835.04,7387.38,7910.28,8192.77,7996.1,8673.68,-0.1661712,-0.2389672,-0.2617536,-0.1670158,-0.1056978,-0.066827,-0.0642974,0.0532278,0.1981975,0.3457069,0.5269073,0.6099215,0.6919829,0.8115367,0.9110938,1.044229,1.143905,1.165404,1.032764,1.087415,1.105673,1.164692,1.219445,1.281106,1.355065,1.362881,1.377435,1.378308,1.375269,1.428678,1.492197,7.002611,7.12004,7.212324,7.291724,7.361426,7.414471,7.465959,7.565228,7.704379,7.851587,7.979709,8.078831,8.164673,8.258058,8.352245,8.455094,8.519552,8.511133,8.40025,8.454775,8.520135,8.547278,8.606041,8.686028,8.756227,8.829818,8.907529,8.975919,9.011007,8.98671,9.068048,40117,38049,37906,42449,45966,48668,49703,56945,67003,78892,95833,105236,115188,130736,145470,167586,186966,193097,171066,182811,188355,202132,215975,232198,252345,256169,261211,262205,261838,276587,295282
Spain,ESP,europe,High income: OECD,5.74276,5.49245,5.53218,5.37395,5.1975,5.2379,4.94264,4.94109,5.14089,5.84334,5.63352,5.80029,5.99106,5.59865,5.94373,6.13736,5.91271,6.37072,6.585,7.07265,7.31274,7.30764,7.59128,7.61117,7.90805,8.09706,7.8842,7.92089,7.16553,6.21697,5.78988,7347.24,7925.16,8475.77,8914.12,9349.96,9842.28,10355.4,11199.7,12178.6,13258.7,14253.1,15059.5,15482.6,15594.3,16254.3,17237.1,17935.2,18897.3,19886.3,21018.9,22393.8,23480.7,24072.1,24848,25921.4,27130.4,28645.9,29840.4,30196,29019.8,29188.9,1.747941,1.703375,1.710582,1.681563,1.648179,1.655921,1.597899,1.597586,1.637225,1.765303,1.728735,1.757908,1.790269,1.722525,1.782336,1.814395,1.777104,1.851713,1.884794,1.956236,1.989618,1.98892,2.027,2.029616,2.067881,2.091501,2.06486,2.069504,1.969282,1.827283,1.756112,8.90208,8.977798,9.044967,9.095392,9.143127,9.194443,9.245261,9.323643,9.407434,9.492413,9.564731,9.619761,9.647471,9.654662,9.696111,9.754818,9.794518,9.846775,9.897786,9.953179,10.01654,10.06394,10.08881,10.12053,10.16282,10.20841,10.26276,10.30362,10.31547,10.27573,10.28154,215004,207288,209906,204868,198953,201234,190468,190878,199034,226672,218865,225858,234057,219408,233559,241732,233423,252169,261563,282385,294434,297830,314519,321097,339429,353462,350037,358237,329286,288237,269675
Kazakhstan,KAZ,asia,Upper middle income,,,,,,,,,,,,,15.8954,13.5395,12.3943,10.5422,9.0315,8.45072,8.29809,7.80345,8.58455,9.95458,10.2259,10.317,11.4673,11.682,12.5772,14.2283,14.7019,13.3033,15.2393,,,,,,,,,,,,,4412.09,4137.53,3951.21,3732.24,3867.52,4077.6,4106.49,4293.03,4832.52,5616,6254.52,6933.51,7734.58,8657.79,9766.28,10797.8,11218.8,11144.1,11929,2.766033,2.766033,2.766033,2.766033,2.766033,2.766033,2.766033,2.766033,2.766033,2.766033,2.766033,2.766033,2.766033,2.60561,2.517236,2.355384,2.200719,2.134251,2.116026,2.054566,2.149965,2.298033,2.324922,2.333791,2.439499,2.458048,2.531882,2.655231,2.687978,2.588016,2.723876,8.392104,8.392104,8.392104,8.392104,8.392104,8.392104,8.392104,8.392104,8.392104,8.392104,8.392104,8.392104,8.392104,8.327854,8.281777,8.224764,8.260368,8.313264,8.320324,8.364748,8.483124,8.633375,8.741059,8.844121,8.953457,9.066215,9.186691,9.287101,9.325342,9.318665,9.386724,0,0,0,0,0,0,0,0,0,0,0,0,261307,221105,199488,166731,140692,129581,125063,116493,127769,147908,151946,153816,172158,176947,192532,220313,230438,214087,248729
Malaysia,MYS,asia,Upper middle income,2.02386,2.17381,2.10208,2.54384,2.26285,2.29869,2.4649,2.44035,2.48367,2.81708,3.1076,3.66603,3.92074,4.65564,4.6525,5.84462,5.89726,5.7242,5.10787,4.71411,5.4056,5.71421,5.53494,6.43881,6.59696,6.86335,6.48182,7.6568,7.80964,7.33642,7.66747,2350.98,2682.62,2943.18,3171.62,3452.9,3421.78,3436.76,3619.99,4019.39,4446.33,4817.24,5370.53,5817.86,6367.43,6911.49,7546.9,8237.87,8766.57,8002.12,8397.99,9101.78,9114.59,9515.48,10027.1,10717.9,11840.3,12715.5,13737.7,14416.7,14062.3,15018.4,0.7050064,0.7764805,0.7429274,0.9336733,0.8166263,0.8323384,0.9021496,0.8921411,0.9097384,1.035701,1.133851,1.299109,1.366279,1.538079,1.537404,1.765522,1.774488,1.744703,1.630782,1.55056,1.687435,1.742956,1.711081,1.862344,1.886609,1.926196,1.869001,2.035594,2.055358,1.992851,2.036986,7.762588,7.894549,7.987246,8.061997,8.14697,8.137917,8.142284,8.194226,8.298885,8.399835,8.479957,8.588682,8.668688,8.758951,8.84094,8.928892,9.016497,9.078701,8.987462,9.035748,9.116225,9.117632,9.160675,9.213048,9.279671,9.379261,9.450575,9.527898,9.576142,9.55125,9.617029,27998,30825,30572,37972,34697,36237,39985,40762,42724,49882,56593,68591,75298,91723,94011,121132,125375,124821,114187,107934,126603,136717,135129,160266,167333,177373,170648,205308,213221,203882,216804
Egypt,EGY,mena,Lower middle income,1.00685,1.10954,1.20284,1.18763,1.29779,1.26995,1.4466,1.41749,1.37993,1.30746,1.34803,1.37165,1.39221,1.57073,1.41641,1.56492,1.64238,1.71493,1.90753,1.92623,2.13688,1.86672,1.8622,2.13104,2.13782,2.32952,2.4471,2.59171,2.60686,2.57729,2.62279,1305.04,1417.96,1572.82,1732.75,1885.81,2031.9,2116.68,2214.78,2336.01,2445.43,2572.22,2658.63,2672.08,2757.95,2875.07,3004.49,3136.92,3311.18,3522.48,3711.6,3918.13,4059.32,4169.24,4303.62,4513.88,4762.12,5148.8,5483.21,5862.9,6047.45,6288.52,0.0068271,0.1039473,0.1846858,0.1719589,0.2606623,0.2389808,0.3692128,0.3488852,0.3220338,0.2680857,0.2986459,0.3160161,0.3308936,0.4515401,0.3481224,0.4478318,0.4961471,0.5393746,0.6458101,0.6555629,0.7593485,0.6241856,0.6217576,0.7566105,0.7597883,0.8456642,0.8949049,0.9523194,0.9581465,0.9467375,0.9642391,7.173989,7.256975,7.360625,7.457465,7.542113,7.616726,7.657604,7.702909,7.7562,7.801976,7.852525,7.885566,7.890613,7.922243,7.963832,8.007863,8.050997,8.10506,8.166921,8.219218,8.27337,8.308771,8.335489,8.367212,8.414912,8.468449,8.546519,8.609446,8.676399,8.707392,8.746481,45240,50979,56523,57092,63839,63938,74565,74810,74532,72181,75944,78716,81264,93156,85313,95723,102031,108202,122243,125393,141326,125452,127194,147963,150912,167208,178616,192382,196797,197871,204776
Venezuela,VEN,latam,Upper middle income,6.01482,5.91454,5.84138,5.66786,5.52643,5.84658,6.15567,6.07254,6.18657,5.65302,6.18833,5.70957,5.11673,5.87683,6.00869,6.03096,5.44193,5.81936,7.12531,7.20888,6.24459,6.93695,7.62867,7.44666,6.40743,6.79604,6.3192,6.35614,6.6433,6.48431,6.94644,5801.49,6075.33,6431.81,5861.33,6212.01,6290.89,6726.36,7052.16,7584.36,6620.7,7073.53,7831.33,8299.94,8329.37,8124.2,8436.01,8392.47,8896.57,8842.68,8268.14,8597.31,8914.7,8092.83,7467.65,8898.53,9973.18,11145,12237.8,12922.5,12404,12173.4,1.794226,1.777415,1.764967,1.734812,1.709543,1.765857,1.817374,1.803777,1.82238,1.73219,1.822665,1.742145,1.632516,1.771018,1.793206,1.796906,1.694134,1.761191,1.963653,1.975314,1.831716,1.936862,2.031914,2.007766,1.857458,1.91634,1.843593,1.849421,1.893609,1.869385,1.938229,8.66587,8.711991,8.769011,8.676132,8.73424,8.746858,8.813789,8.86109,8.933844,8.797956,8.864115,8.965888,9.024004,9.027543,9.002603,9.040265,9.03509,9.093421,9.087345,9.020164,9.059205,9.095457,8.998734,8.918336,9.093641,9.207655,9.318743,9.412283,9.466725,9.425772,9.407005,90802,91968,93406,93101,93219,101279,109530,110982,116097,108855,122162,115441,105874,124355,129947,133237,122753,133963,167322,172617,152415,172525,193262,192103,168268,181630,171825,175785,186812,185341,201747
